ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
3,Tralee International Resource Centre (TIRC),"TIRC’s mission is to support and advocate for the international community and to facilitate inclusion.  and understanding between people. We provide drop in support, English classes, social groups and one to one advocacy and support. ","English classes, support, help with forms, finding work, education, support with services, referrals","13-14 St Patrick's Bungalows, Boherbee, Tralee, Co Kerry",V93E952,No,www.tirc.ie,reception@tirc.ie,667127918.00,Information & Advice;Education;Language Support;Wellbeing & Mental Health;Public Awareness & Activism;,Multiple services,52.102,-9.651,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10-4",
4,Migration Justice Project - Law Centre NI,"Immigration legal advice, policy and community engagement services, specialising in asylum & trafficking. We produce legal and policy briefings, public education resources and FAQs on the latest developments. We conduct information sessions, outreach clinics and multilingual research. We also convene the Northern Ireland Refugee & Asylum Forum.","Specialising in forced migration. we provide free immigration legal advice, information resources, policy and advocacy and training","3rd Floor, State Building, 2 Arthur Place, Belfast, ",BT1 4HG,No,www.lawcentreni.org,migrationjustice@lawcentreni.org,(+44) 028 90 244401,Information & Advice;Legal Advice;Public Awareness & Activism;,Legal Advice,54.597,-5.931,N/A,
5,Academy of Success and Happiness ,"Academy of Success and Happiness We support Russian-speaking migrants and refugees from various countries living in Ireland through mental health and community-building activities. Our work includes: – Consultations, retreats, and cultural festivals – Outdoor seminars and Slavic celebrations – Programs such as Laughter Yoga, Neurographica Art Therapy, creative art workshops, and the “Good Mood” international dance & integration program We aim to improve emotional well-being, reduce stress, and help people connect and thrive in a new environment.","
Mental health support for migrants, 
emotional wellbeing for migrants in Ireland,
community events for Slavic in Ireland , 
Russian-speaking, art therapy in Ireland, 
Laughter Yoga, 
creative workshops for migrants,
dance for integration, 
Slavic festivals in Ireland, 
retreats in Ireland, 
stress relief, 
support for migrants, 
support for refugees, 
women's groups,
 cultural programs, 
group activities on Russian speakers, 
trauma healing, 
social connection for migrants 

",We work all over Ireland wherever we are invited,None,Yes,https://www.facebook.com/share/1ZFcATSRgv/,academy.ash.123@gmail.com,353834041367.00,Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;,Wellbeing & Mental Health,53.633,-8.240,N/A,
7,Cliftonville Community Centre ,Centre Manager ,"All inclusive.
Everyone Welcome 
Family Support-Carers/Parents and Toddlers 
Youth Provision
One to One Mentoring Service for children and young people in North Belfast 
Afterschool Project 'loose play' curriculum 
Healthy Living Projects 
Sports 
Good Relations 
Personal Development 
Educational 
On the job training 
Volunteer with us ",60-64  Manor Street Belfast ,BT14 6EA,No,under construction ,BT14 6EA,Gráinne Magee ,Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;Language Support;,Community & Family,54.614,-5.946,"Available: Tuesday;Friday;Saturday;Thursday;, Parents/Carers & Toddlers Tuesday and Thursday morning 10-12
Afterschool Service 3-5pm Daily 
Youth Project Mon-Thurs 6-9pm and Friday 6-10.30pm 
Art Therapy 12-1.30 Wednesday 
Womens Group Friday 10-12
Mindfulness & Meditation 3-5pm Saturday 
Community Bingo 7-8pm Sunday ",
8,The Suitcase Project,"We are a Church of Ireland initiative that provides support to new comers in East Belfast. We offer English language classes and conversation cafes. We provide general advice and support, initiatives to support integration, education support and home visits.  ","English classes, help with forms, employment support","Emmanuel Hall, 50 Roslyn Street, Belfast",BT6 8JJ,No,Thesuitcaseproject.org.uk,Info@thesuitcaseproject.org.uk,07572817429,Language Support;Information & Advice;Community & Family;,Language Support,54.589,-5.908,"Available: Monday;Tuesday;Wednesday;, 10am -12.30 Monday - Wednesday. Wednesday evening 7.30pm - 9pm.",
9,Mauritian Network Ireland ,Help with immigration issues ,Mauritian ,None ,None ,Yes,Mauritian Network ,Mauritiannetwork@gmail.com,N/A,Information & Advice;Immigration issues ;,Information & Advice,53.633,-8.240,N/A,
10,Wadajir Somali Association Ireland CLG,"Wadajir Somali Association Ireland is a community-led organisation supporting Somali migrants. We provide help with integration, language, employment, housing, family reunification, and cultural activities. Our services include translation, form-filling, and connecting people to essential resources, empowering them to thrive and contribute positively to Irish society.","Translation, form-filling, and connecting people to essential resources. ",47 Phibsborough Road ,D07 CF77,No,Www.wadajirsa.ie,support@wadajirsa.ie,0899616024,Information & Advice;,Information & Advice,53.359,-6.276,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;, 11:00 to 06:00",
11,LIFE CHANGE CHANGES LIVES,"Life Change Changes Lives (LCCL) supports individuals affected by mental ill health, trauma, addiction, social isolation, and suicide through free BACP counselling, creative therapy, advice, daily lunch, and social connection. We are inclusive of migrants, refugees, and people seeking asylum and welcome self-referrals.","mental health, counselling, therapy, trauma support, creative therapy, suicide prevention, addiction support, housing help, emotional wellbeing, food support, social connection, self-referral, community support, advice services, community integration","41 Market Street, Downpatrick, County Down, N Ireland",BT30 6LP,No,www.lifechangechangeslives.com,lifechangechangeslives@gmail.com,02844616166,"Information & Advice;Housing support;Wellbeing & Mental Health;Community & Family;Environment;Emergency & Homelessness Support (e.g. food, shelter, day services);",Wellbeing & Mental Health,54.328,-5.720,"Available: Tuesday;Wednesday;Thursday;Friday;Saturday;, 10:00-14:00",
12,Mother Tongues,"Mother Tongues organises free artistic family workshops delivered in English, but families are warmly encouraged to bring any and all languages they speak. Through the arts, we empower multilingual children to explore their mother tongues and express who they are. Our workshops help every child grow up proud and confident in their linguistic and cultural identity. ","community, community building, family support, mother language, mother tongue, belonging","Our workshops are organised in different locations, mainly in County Dublin",N/A,No,https://mothertongues.ie/,info@mothertongues.ie,N/A,Community & Family;Culture & the Arts;,Community & Family,53.324,-6.411,N/A,
14,Waterford Integration Services,"Waterford Integration Services is a humanitarian NGO providing support, services and programmes to displaced migrants in the Southeast. We promote human rights, community development principles and the sustainable development goals through our work. We prioritise information, advice and advocacy support.","Assistance with online applications, connecting to other services, professional referrals, education opportunities, volunteering opportunities, work experience, cultural events, assistance with reporting incidences of racism, information, advice and advocacy, support with immigration issues.","WCQ Place, 17-18 O'Connell Street, Waterford",X91 KVN9,No,waterfordintegrationservices.com ,anne.nolisu@gmail.com,051 575000 ,Information & Advice;Education;Language Support;Wellbeing & Mental Health;Community & Family;Culture & the Arts;Public Awareness & Activism;,Multiple services,52.262,-7.117,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9am-3pm",
17,Local Authority Integration Team ,"The Local Authority Integration Teams (LAITs) have been set up in all local authorities. Their purpose is to help coordinate the different kinds of support available for people who are applying for international protection, refugees, and others in similar situations.  The goal of LAITs is to help IP applicants and refugees become independent, settle into their new communities, and participate in Irish life. They do this by connecting people to important services that can help them integrate into the community.","Information and Advice, Community, Housing support, Employment and Training ","Áras Contae an Chláir,  New Road Ennis Co Clare ",V95 DXP2,No,https://clarecoco.ie/services/integration/,integration@clarecoco.ie,0873936019,Information & Advice;Community & Family;,Multiple services,52.852,-9.039,N/A,
18,Falls Women's Centre,"The centre provides a safe, welcoming, comfortable, women-only environment, supporting women to recognise and develop their talents and skills, and become active in realising their full potential. ",None,"245-258 Falls Road, Belfast, BT12 6AL",BT12 6AL,No,www.fallswomenscentre.org,info@fallswomenscentre.org,02890327672,Information & Advice;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;,Multiple services,54.592,-5.965,N/A,
19,The Rainbow Project Ltd,"Since 1994, the Rainbow Project has been working for a better Northern Ireland for LGBTQIA+ people and their families. We change lives through our service provision which mitigates the impact of discrimination, and we change society through our training, campaigning and policy work, which seeks to eliminate the root causes of that discrimination and deliver full social and legal equality for LGBTQIA+ people. ","LGBTQIA+, LGBT, Gay, Lesbian, Bisexual, Transgender","23-31 Waring Street, Belfast ",BT1 2DX ,No,www.rainbow-project.org,info@rainbow-project.org,02890319030,Health Services;Information & Advice;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;,Wellbeing & Mental Health,54.601,-5.929,N/A,
20,Clare Volunteer Centre,"We provide support to people who are looking to volunteer and also provide a range of services to volunteer involving organisations including training, garda vetting, advocacy and recognition.","Finding a volunteer role, getting involved with your new community, sharing your skills, helping with improving your English through volunteering","Clare Volunteer Centre, Government Buildings, Kilrush Road, Ennis, Co. Clare",V95F782,No,www.volunteerclare.ie,info@volunteerclare.ie,065 68 45517,Information & Advice;Volunteering Opportunities;,Volunteering Opportunities,52.838,-8.994,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9am - 4pm",
