ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,,,,,,,,,,,,
222,_ONLINE - Abolish Direct Provision Campaign,Awareness about DP-Empowerment of Refugees in DP-Engagement with the Government ,"Direct Provision, Refugees",We don't have a physical office since Covid-19,None,Yes,www.directprovision.org ,info@directprovision.org,0894248872,"Information & Advice, Wellbeing & Mental Health, Public Awareness & Activsm",Public Awareness & Activism,53.35,-6.26,N/A,,,,,,,,,,,,
5,_ONLINE - Academy of Success and Happiness ,"Academy of Success and Happiness We support Russian-speaking migrants and refugees from various countries living in Ireland through mental health and community-building activities. Our work includes: – Consultations, retreats, and cultural festivals – Outdoor seminars and Slavic celebrations – Programs such as Laughter Yoga, Neurographica Art Therapy, creative art workshops, and the “Good Mood” international dance & integration program We aim to improve emotional well-being, reduce stress, and help people connect and thrive in a new environment.","
Mental health support for migrants, 
emotional wellbeing for migrants in Ireland,
community events for Slavic in Ireland , 
Russian-speaking, art therapy in Ireland, 
Laughter Yoga, 
creative workshops for migrants,
dance for integration, 
Slavic festivals in Ireland, 
retreats in Ireland, 
stress relief, 
support for migrants, 
support for refugees, 
women's groups,
 cultural programs, 
group activities on Russian speakers, 
trauma healing, 
social connection for migrants 

",We work all over Ireland wherever we are invited,None,Yes,https://www.facebook.com/share/1ZFcATSRgv/,academy.ash.123@gmail.com,3.53834E+11,Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;,Wellbeing & Mental Health,53.633,-8.24,N/A,,,,,,,,,,,,
118,_ONLINE - Beyond Skin,"Supporting vunerable people, integration and community relations through the arts",None,None,None,No,www.beyondskin.net,Info.beyondskin@gmail.com,4.47793E+11,Education;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;,Culture & the Arts,54.546,-6.007,N/A,,,,,,,,,,,,
223,_ONLINE - BRIJ,We visit the direct provision and emergency centres in Cork city weekly and connect IPAs to relevant support services,"Linking to local services, providing local information, form filling",None,None,Yes,www.brij.ie,brijcork@gmail.com,None,"Information & Advice, Being present in the centres",Information & Advice,51.899,-8.476,N/A,,,,,,,,,,,,
134,_ONLINE - Childline by ISPCC ,"Childline by ISPCC's Digital Mental Health and Wellbeing Programmes (Space From Anxiety, Supporting An Anxious Child and Supporting An Anxious Teen) are aimed at young people (15 - 18 years old) who experience low to moderate anxiety and parents/carers who wish to support their child or young person (5 - 18 years old) who experiences anxiety. Our programmes are based on CBT and include mindfulness practices. This service is delivered digitally (via any smart device) and does not involve face-to-face sessions.","Anxiety Management, Cognitive Behavioural Therapy, Wellbeing, Coping Skills, Resilience Building, Mental Health","Unit 3, Block 3, Harbour Square, Crofton Road, Dun Laoghaire, Dublin.",A96 H942,Yes,https://www.ispcc.ie/,spacefromanxiety@ispcc.ie,01 522 4300,Wellbeing & Mental Health;Community & Family;Youth Services;,Wellbeing & Mental Health,53.298,-6.141,N/A,,,,,,,,,,,,
184,_ONLINE - Community Connect,"Community Connect is Ireland’s National Baby Bank charity, providing practical support to pregnant women and families with babies and young children (up to the age of 3), who are experiencing financial hardship. Operating through our network of hubs in Dublin, Cork, Galway, Kilkenny & Athlone, we collect, sort, and redistribute high-quality pre-loved baby clothing and equipment, along with essential hygiene products.","baby, family, practical support
","Tallaght, D24",None,Yes,www.communityconnect.ie,info@communityconnect.ie,085 8758366,Community & Family;Environment;,Community & Family,53.286,-6.371,N/A,,,,,,,,,,,,
219,_ONLINE - Cooking For Freedom,"Our mission at Cooking For Freedom is to address the food poverty, isolation and lack of community experienced by international protection applicants and refugees living in Government-provided accommodation. We do this by providing cooking facilities and ingredients and the opportunity to prepare food together in community.",Food and Community,None,None,Yes,https://cookingforfreedom.ie/,info@cookingforfreedom.ie,0852576882,Wellbeing & Mental Health;Community & Family;,Community & Family,,,N/A,,,,,,,,,,,,
224,_ONLINE - Entheos Ireland,"Celebrant and registered solemniser for weddings, child namings, and funerals for people of all backgrounds - religion, gender, sexuality, (dis)ability, ethnicity. ","Celebrant, Wedding, Child naming, Funeral, Solemniser ",None,None,No,www.priyangee.com,hello@priyangee.com,None,"Community & Family, Public Awareness & Activsm",Community & Family,53.35,-6.26,N/A,,,,,,,,,,,,
225,_ONLINE - ESOL NI ,ESOL (English for Speakers of Other Languages) directory of formal and informal English language provision in Northern Ireland. Further Education Colleges and community-based ESOL providers information.,"English classes, ESOL, adult education.",None,None,Yes,https://esolwebapp.azurewebsites.net/,lparizzi@belfastmet.ac.uk,None,"Language Support, Education",Language Support,54.597,-5.93,N/A,,,,,,,,,,,,
101,_ONLINE - Feed my Lambs Children's Ministry,Spiritual support from a Biblical perspective.  Ministries and activities for all especially children and particularly from an African background.,"Bible teaching, child evangelism, family days, children's activities, spiritual support, ",Northern Ireland. In particular Co. Armagh,none,Yes,www.feedmylambs.org.uk,contact@feedmylambs.org.uk,N/A,Education;Community & Family;Youth Services;Biblical teaching and support;,Biblical support and activities for children,54.304,-7.244,N/A,,,,,,,,,,,,
35,_ONLINE - Generation Ireland,"Generation Ireland is a non-profit organisation supporting people into life-changing careers through free, job specific, online bootcamps and connection to hiring employers.","Finding work, upskilling, IT, technology, training, employment, careers, jobs, free, without degree, no degree, no experience, older people, parents, carers",None,None,Yes,ireland.generation.org,uki-admissions@generation.org,N/A,Employment & Training;Education;,Employment & Training,53.633,-8.24,N/A,,,,,,,,,,,,
207,_ONLINE - Human Health Project,"Human Health Project (HHP) is a global nonprofit that empowers underserved and vulnerable communities to make informed health decisions through education, advocacy, and shared patient experiences. Our programs focus on improving health literacy, healthcare access, and patient engagement, with a volunteer-driven model reaching diverse populations worldwide","Health literacy, patient advocacy, healthcare access, chronic illness support, shared patient information, diabetes prevention, children's health education, community health, volunteer health programs, health education videos, underserved communities, health equity, peer support, medical information, holistic health.",None,None,Yes,https://humanhealthproject.org/,eric.g@humanhealthproject.org,3238411400,Education;Wellbeing & Mental Health;,Education,53.633,-8.24,N/A,,,,,,,,,,,,
